frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,139658.529951,75135.000000,143.331783
4,224990.012689,141837.000000,56.017854
8,336081.995309,174528.000000,26.400758
16,308757.620544,162048.000000,61.886994
32,364500.381238,248399.000000,814.905516
64,367074.804829,250783.000000,1579.775300
128,341914.680027,205766.000000,3010.104649
256,473017.347847,287295.000000,13803.439390
512,950409.705894,273531.000000,50391.873293
1024,637662.420989,277542.000000,36981.673624
2048,1064476.226132,270502.000000,47620.521259
4096,458572.847177,126299.000000,158363.624782
8192,670058.843747,145784.000000,266141.829463
16384,1108429.589554,299765.000000,827522.418578
32768,314233.008629,65554.000000,263454.286627
65536,1094081.392480,218729.000000,907153.742485
