frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,340285.266325,179688.000000,0.000000
4,332957.935607,169505.000000,0.000000
8,350230.937000,266121.000000,0.000000
16,399857.773660,285132.000000,0.000000
32,361137.861586,223151.000000,0.000000
64,527632.724745,235015.000000,0.000000
128,304313.148380,131643.000000,0.000000
256,419134.823503,200339.000000,0.000000
512,758751.860191,267413.000000,0.000000
1024,232568.511903,154746.000000,0.000000
2048,624690.712872,275809.000000,0.000000
4096,424345.370559,185697.000000,0.000000
8192,1307957.651967,273579.000000,0.000000
16384,1202887.751844,295468.000000,0.000000
32768,1269273.441318,91310.000000,0.000000
65536,2069809.698986,235355.000000,0.000000
