frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,217079.503857,110590.000000,0.000000
4,211450.426098,73570.000000,0.000000
8,290190.136452,121980.000000,0.000000
16,274952.282706,149534.000000,0.000000
32,160660.349234,56375.000000,0.000000
64,186787.514237,77726.000000,0.000000
128,276618.217144,255811.000000,0.000000
256,886462.165570,248637.000000,0.000000
512,421298.017879,146789.000000,0.000000
1024,693342.144975,248382.000000,0.000000
2048,711546.791558,182270.000000,0.000000
4096,1133643.850780,164183.000000,0.000000
8192,2162717.653982,240765.000000,0.000000
16384,283633.450806,88516.000000,0.000000
32768,2616998.079947,237908.000000,0.000000
65536,7062069.427875,266566.000000,0.000000
