frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,173627.502300,107408.000000,0.000000
4,129516.798995,52198.000000,0.000000
8,270550.219773,142333.000000,0.000000
16,205539.108113,119715.000000,0.000000
32,388397.993682,322740.000000,0.000000
64,417320.478684,178733.000000,0.000000
128,89431.985676,22169.000000,0.000000
256,522791.658100,244099.000000,0.000000
512,110749.759341,45669.000000,0.000000
1024,448853.281983,183325.000000,0.000000
2048,526945.610920,141270.000000,0.000000
4096,312314.505193,94923.000000,0.000000
8192,814404.259687,196976.000000,0.000000
16384,1644803.155570,198273.000000,0.000000
32768,1279274.419167,170950.000000,0.000000
65536,4521054.473070,217666.000000,0.000000
