frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
2,219579.334599,219579.334599,219579.334599,219579.334599,219579.334599,219579.334599
4,160670.040088,160670.040088,160670.040088,160670.040088,160670.040088,160670.040088
32768,1245450.728773,1245450.728773,1245450.728773,1245450.728773,1245450.728773,1245450.728773
16,541745.663674,541745.663674,541745.663674,541745.663674,541745.663674,541745.663674
8,907288.687282,907288.687282,907288.687282,907288.687282,907288.687282,907288.687282
8192,842210.610583,842210.610583,842210.610583,842210.610583,842210.610583,842210.610583
512,861055.244722,861055.244722,861055.244722,861055.244722,861055.244722,861055.244722
4096,920514.706547,920514.706547,920514.706547,920514.706547,920514.706547,920514.706547
32,708109.367693,708109.367693,708109.367693,708109.367693,708109.367693,708109.367693
128,722713.776517,722713.776517,722713.776517,722713.776517,722713.776517,722713.776517
256,1028154.622154,1028154.622154,1028154.622154,1028154.622154,1028154.622154,1028154.622154
1024,1316395.999026,1316395.999026,1316395.999026,1316395.999026,1316395.999026,1316395.999026
64,1134972.339818,1134972.339818,1134972.339818,1134972.339818,1134972.339818,1134972.339818
16384,1475807.604667,1480769.897909,1480769.897909,1480769.897909,1480769.897909,1480769.897909
2048,1818224.860018,1818224.860018,1818224.860018,1818224.860018,1818224.860018,1818224.860018
65536,3892678.482976,3892678.482976,3892678.482976,3892678.482976,3892678.482976,3892678.482976
