frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
16,462194.395451,462194.395451,462194.395451,462194.395451,462194.395451,462194.395451
32768,883961.399440,883961.399440,883961.399440,883961.399440,883961.399440,883961.399440
2,465294.661040,465294.661040,465294.661040,465294.661040,465294.661040,465294.661040
64,757552.133537,757524.333129,757524.333129,757524.333129,757524.333129,757524.333129
4,650359.926780,650359.926780,650359.926780,650359.926780,650359.926780,650359.926780
512,782377.763573,782377.763573,782377.763573,782377.763573,782377.763573,782377.763573
8,479368.183965,479368.183965,479368.183965,479368.183965,479368.183965,479368.183965
16384,1594138.808047,1602213.482031,1602213.482031,1602213.482031,1602213.482031,1602213.482031
128,801208.124201,801208.124201,801208.124201,801208.124201,801208.124201,801208.124201
4096,814100.345085,818871.025007,818871.025007,818871.025007,818871.025007,818871.025007
32,916984.108324,916984.108324,916984.108324,916984.108324,916984.108324,916984.108324
8192,1305957.544567,1306133.531826,1306133.531826,1306133.531826,1306133.531826,1306133.531826
2048,980478.272789,982040.853649,982040.853649,982040.853649,982040.853649,982040.853649
256,1404975.186610,1404975.186610,1404975.186610,1404975.186610,1404975.186610,1404975.186610
1024,1474908.293761,1480808.473880,1480808.473880,1480808.473880,1480808.473880,1480808.473880
65536,3568463.681721,3568463.423788,3568463.423788,3568463.423788,3568463.681721,3568463.423788
