frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
65536,1177358.185776,1193011.915417,1193011.915417,1193011.915417,1193011.915417,1193011.915417
1024,940376.907531,949134.520306,949134.520306,949134.520306,949134.520306,949134.520306
4,482949.894246,482949.894246,482949.894246,482949.894246,482949.894246,482949.894246
2,520036.275548,520036.275548,520036.275548,520036.275548,520036.275548,520036.275548
8192,1461027.366868,1461027.366868,1461027.366868,1461027.366868,1461027.366868,1461027.366868
8,690260.137282,690260.137282,690260.137282,690260.137282,690260.137282,690260.137282
512,1177120.995859,1177120.995859,1177120.995859,1177120.995859,1177120.995859,1177120.995859
64,884569.486825,884569.486825,884569.486825,884569.486825,884569.486825,884569.486825
4096,976538.537269,978669.241378,978669.241378,978669.241378,978669.241378,978669.241378
16,769210.162281,769210.162281,769210.162281,769210.162281,769210.162281,769210.162281
128,874553.352753,874553.352753,874553.352753,874553.352753,874553.352753,874553.352753
32,1233729.422402,1242052.278190,1242052.278190,1242052.278190,1242052.278190,1242052.278190
256,972581.930321,973602.023232,973763.977384,973763.977384,973763.977384,973763.977384
2048,1817408.311590,1827370.543506,1827370.543506,1827370.543506,1827370.543506,1827370.543506
16384,1365379.089475,1365379.089475,1365379.089475,1365379.089475,1365379.089475,1365379.089475
32768,2714528.992720,2714528.992720,2714528.992720,2714528.992720,2714528.992720,2714528.992720
