frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
65536,470248.653401,470239.207056,470239.207056,470239.207056,470239.207056,470239.207056
32,410933.317256,412169.714293,412169.714293,412169.714293,412169.714293,412169.714293
4,405148.673980,405557.095805,405557.095805,405557.095805,405644.385558,405557.095805
32768,1461224.935139,1468778.230488,1468780.040801,1468780.040801,1468780.001500,1468778.230488
256,743549.277440,747400.591959,747400.591959,747400.591959,747400.591959,747400.591959
8,702132.090721,702094.135262,702094.135262,702094.135262,702094.135262,702094.135262
64,880639.144064,891333.661935,891333.661935,891333.661935,891333.661935,891333.661935
2,886025.508324,886025.508324,886025.508324,886025.508324,886025.508324,886025.508324
128,907711.092330,908006.645283,908010.047245,908010.047245,908010.047245,908006.645283
16,714007.538735,716976.482044,716976.482044,716976.482044,716976.482044,716976.482044
512,1312230.092474,1325572.103222,1325572.103222,1325572.103222,1325584.120996,1325572.103222
1024,949438.026393,955455.023935,955455.023935,955455.023935,955118.922200,955455.023935
2048,1608999.008443,1622137.893961,1622603.420871,1622603.420871,1622603.420871,1622603.420871
8192,1877046.781620,1908447.431313,1908771.914222,1909436.111097,1909232.108759,1909435.410974
16384,2672656.793339,2711445.730130,2711445.738555,2711445.738555,2711324.400076,2711445.730130
4096,2228201.592483,2261596.261015,2261596.261015,2261192.223629,2260668.748421,2261596.261015
