frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
8,397358.373171,397226.338681,397226.338681,397226.338681,397226.338681,397226.338681
4,375614.948164,376405.846150,376405.846150,376405.846150,376405.846150,376405.846150
16,503944.699826,505745.786815,505745.786815,505745.786815,505745.786815,505745.786815
8192,430920.628923,431228.497438,430756.622589,430756.622589,430756.622589,430756.622589
32,725799.719299,732621.167619,732621.167619,732621.167619,732621.167619,732621.167619
512,1115309.744265,1120482.635437,1120482.635437,1120482.635437,1120500.878130,1120482.635437
2,846358.613738,846416.701463,846416.701463,846416.701463,846416.701463,846416.701463
32768,1372036.217979,1398672.144061,1398672.144061,1398672.144061,1398672.144061,1398672.139352
4096,901012.219060,909139.735007,911200.827990,911200.827990,911428.069876,911200.827990
1024,634177.774977,637810.291131,637810.291131,637810.291131,637810.291131,637810.291131
128,1358486.820182,1366885.771572,1366885.771572,1366885.771572,1366885.771572,1366885.771572
64,1371529.247371,1382643.166083,1384802.488448,1384802.488448,1384640.929971,1384802.488448
256,1237401.837815,1243262.496977,1243262.496977,1243262.496977,1243174.600629,1243262.496977
2048,1812144.319257,1858654.140713,1858654.140713,1858654.140713,1858560.143197,1858654.140713
16384,2367999.068642,2426424.424448,2426424.424448,2426424.424448,2426424.424448,2426424.424448
65536,3680049.588804,3748311.027898,3748311.027898,3748311.027898,3748311.027898,3748311.027898
