frequency,Dynamic_njobs100_mode0_L2_norm_flow_time,Dynamic_njobs100_mode0_maximum_flow_time,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time,Dynamic_njobs100_mode8_maximum_flow_time,Dynamic_njobs100_mode16_L2_norm_flow_time,Dynamic_njobs100_mode16_maximum_flow_time
64,964589.216888,17143.000000,964589.216888,17143.000000,964589.216888,17143.000000,964589.216888,17143.000000,964589.216888,17143.000000,964589.216888,17143.000000
512,1281238.168475,20381.000000,1259310.225825,20822.000000,1281238.168475,20381.000000,1281238.168475,20381.000000,1281238.168475,20381.000000,1281238.168475,20381.000000
4,324750.618819,7332.000000,325038.052268,7332.000000,324750.618819,7332.000000,324750.618819,7332.000000,324750.618819,7332.000000,324750.618819,7332.000000
2,518449.377113,8531.000000,518495.348987,8531.000000,518485.658999,8531.000000,518449.377113,8531.000000,518449.377113,8531.000000,518449.377113,8531.000000
128,1146873.795411,19010.000000,1145957.120828,19010.000000,1146873.795411,19010.000000,1146873.795411,19010.000000,1146873.795411,19010.000000,1146873.795411,19010.000000
2048,1549258.870277,27268.000000,1523746.891351,51880.000000,1549258.870277,27268.000000,1549258.870277,27268.000000,1549258.870277,27268.000000,1549258.870277,27268.000000
16,611782.806774,12270.000000,611782.806774,12270.000000,611782.806774,12270.000000,611782.806774,12270.000000,611782.806774,12270.000000,611782.806774,12270.000000
8,379151.495045,6070.000000,378161.114122,9258.000000,379151.495045,6070.000000,379151.495045,6070.000000,379151.495045,6070.000000,379151.495045,6070.000000
4096,1673976.676739,27988.000000,1642318.796305,29022.000000,1668936.612693,27988.000000,1673976.676739,27988.000000,1673976.676739,27988.000000,1673976.676739,27988.000000
32,1044012.874125,16690.000000,1040568.707605,16690.000000,1044012.874125,16690.000000,1044012.874125,16690.000000,1044012.874125,16690.000000,1044012.874125,16690.000000
8192,1262951.037012,25488.000000,1257207.371970,25488.000000,1262951.037012,25488.000000,1262951.037012,25488.000000,1262951.037012,25488.000000,1262951.037012,25488.000000
256,1535987.590004,25244.000000,1530281.436334,25244.000000,1535987.590004,25244.000000,1535987.590004,25244.000000,1535987.590004,25244.000000,1535987.590004,25244.000000
32768,1019899.885848,16707.000000,1012394.917246,16707.000000,1019899.885848,16707.000000,1019899.885848,16707.000000,1019899.885848,16707.000000,1019899.885848,16707.000000
1024,1518444.301081,22458.000000,1495030.996119,24320.000000,1517767.729722,22458.000000,1518444.301081,22458.000000,1518444.301081,22458.000000,1518444.301081,22458.000000
16384,2179108.141596,37251.000000,2158441.344128,37251.000000,2179108.141596,37251.000000,2179108.141596,37251.000000,2179108.141596,37251.000000,2179108.141596,37251.000000
65536,3108571.679335,52030.000000,2977360.708112,52237.000000,3108571.679335,52030.000000,3108571.679335,52030.000000,3108571.679335,52030.000000,3108571.679335,52030.000000
