mean_inter_arrival_time,L2_norm_flow_time
20.0,129586818.1345143
22.0,124042901.71181202
24.0,118734396.05651335
26.0,113172031.47390893
28.0,107959011.53933696
30.0,102909984.05591962
32.0,97662033.86137319
34.0,92560347.92139491
36.0,87464819.5966863
38.0,82330429.12274465
40.0,76459544.68083914
