mean_inter_arrival_time,L2_norm_flow_time
20.0,4774662.73525662
22.0,4012619.59349678
24.0,3174720.0922577
26.0,2232279.2846213803
28.0,1206735.1380195601
30.0,506294.65603909997
32.0,113199.62528420002
34.0,66370.92239386
36.0,51960.396382859995
38.0,33487.91460956
40.0,38558.68423772
