batch,Dynamic,Dynamic_BAL,RFDynamic
1,1796.5848,1796.5848,1305.7645
2,5578.6638,5578.6638,4899.0064
3,10576.3576,10576.3576,10576.3576
4,9488.8309,9488.8309,9488.8309
5,11124.3146,11124.3146,11124.3146
6,12838.1957,12838.1957,12838.1957
7,12171.6284,12171.6284,12171.6284
8,11745.3407,11745.3407,11745.3407
9,11729.5486,11729.5486,11729.5486
10,10701.9833,10701.9833,10701.9833
11,14073.4420,14073.4420,14073.4420
12,13409.2137,13409.2137,13409.2137
13,13467.5382,13467.5382,13467.5382
14,16432.8560,16432.8560,16432.8560
15,22196.4897,22196.4897,22196.4897
16,22281.2871,22281.2871,22281.2871
17,19508.2792,19508.2792,19508.2792
18,22477.5683,22477.5683,22477.5683
19,19244.7012,19244.7012,19244.7012
20,16148.7148,16148.7148,16148.7148
21,17640.0825,17640.0825,17640.0825
22,18563.8732,18563.8732,18563.8732
23,16696.4325,16696.4325,16696.4325
24,19021.9965,19021.9965,19021.9965
25,19571.1231,19571.1231,19571.1231
26,22670.0978,22670.0978,22670.0978
27,20258.6919,20258.6919,20258.6919
28,18480.8079,18480.8079,18480.8079
29,18616.2982,18616.2982,18616.2982
30,18010.5778,18010.5778,18010.5778
31,18236.5787,18236.5787,18236.5787
32,17409.9551,17409.9551,17409.9551
33,18630.7947,18630.7947,18630.7947
34,21297.0047,21297.0047,21297.0047
35,25214.2782,25214.2782,25214.2782
36,29098.1359,29098.1359,29098.1359
37,33402.5690,33402.5690,33402.5690
38,36376.8704,36376.8704,36376.8704
39,36230.3983,36230.3983,36230.3983
40,32160.6700,32160.6700,32160.6700
41,28048.0068,28048.0068,28048.0068
42,26754.5596,26754.5596,26754.5596
43,28430.3596,28430.3596,28430.3596
44,30677.6415,30677.6415,30677.6415
45,30896.8707,30896.8707,30896.8707
46,32480.0185,32480.0185,32480.0185
47,34959.4620,34959.4620,34959.4620
48,38019.4803,38019.4803,38019.4803
49,37951.0100,37951.0100,37951.0100
50,39566.2383,39566.2383,39566.2383
51,40841.0137,40841.0137,40841.0137
52,47895.5491,47895.5491,47895.5491
53,45914.5458,45914.5458,45914.5458
54,30032.6932,30032.6932,30032.6932
55,22110.5559,22110.5559,22110.5559
56,9881.1750,9881.1750,9881.1750
57,102435.9551,99967.7616,119802.2917
58,86399.0302,84993.9554,106234.4003
59,41086.6351,42670.5149,63196.2231
60,41293.6495,42129.9457,67338.7252
61,49204.5515,49205.0263,52895.9002
62,6160.0937,6160.0937,31841.2902
63,7232.4787,7232.4787,37892.4195
64,3664.8701,3664.8701,4056.4615
65,20546.6916,20546.6916,45416.9242
66,2693.4318,2693.4318,9783.5586
67,7342.8329,7342.8329,16690.3693
68,3059.5884,3059.5884,5218.2173
69,6264.6604,6264.6604,265.8308
70,6724.7891,6724.7891,1267.7831
71,2461.2619,2461.2619,1486.8705
72,10722.0304,10768.6619,795.3100
73,8824.6931,8825.2722,2556.4223
74,4529.2531,4529.2531,749.6066
75,17136.2916,17136.2916,1200.3529
76,2901.3171,2901.3171,650.1392
77,1227.3264,1227.3264,1097.9882
78,692.2608,692.2608,1206.6151
79,1547.2592,1547.2592,1120.1366
80,110716.2701,110716.2701,110865.0161
81,3382.5922,3382.5922,5097.6748
82,20660.5218,20660.5218,390.2192
83,2825.9245,2825.9245,914.2396
84,23832.2083,23826.0737,745.1208
85,5357.1192,5357.1192,4232.3288
86,13691.5632,13691.5632,841.8527
87,42810.9536,42810.9536,52871.5141
88,5684.2980,5684.2980,4077.3810
89,5233.9329,5233.9329,652.4845
90,14569.1230,14569.1230,454.1817
91,8678.9140,8678.9140,10620.5149
92,6041.6979,6041.6979,466.1813
93,4754.6636,4754.6636,1535.5725
94,6885.4887,6885.4887,277.5356
95,3380.9469,3380.9469,959.0506
96,12647.5779,12647.5779,726.3656
97,3463.2320,3463.2320,391.8112
98,14165.3239,14165.3239,3551.3388
99,3964.3206,3964.3206,2233.8089
100,5179.5783,5179.5783,752.8672
