arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
22.0,4.073,262144,260592.19433052864,260592.19433052864,260592.19433052864,260592.19433052864,260592.19433052864,260592.19433052864
22.0,4.639,32768,701011.218249751,701011.218249751,701011.218249751,701011.218249751,701011.218249751,701011.218249751
22.0,5.649,4096,1427841.4235789631,1427841.4235789631,1427841.4235789631,1427841.4235789631,1427841.4235789631,1427841.4235789631
22.0,7.918,512,3188655.122644969,3188655.122644969,3188655.122644969,3188655.122644969,3188655.122644969,3188655.122644969
22.0,16.772,64,5013109.1425717035,5016321.534139035,5016321.534139035,5016321.534139035,5016321.534139035,5016321.534139035
