arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
24.0,4.073,262144,169647.83007748728,169647.83007748728,169647.83007748728,169647.83007748728,169647.83007748728,169647.83007748728
24.0,4.639,32768,490436.40511691215,490436.40511691215,490436.40511691215,490436.40511691215,490436.40511691215,490436.40511691215
24.0,5.649,4096,953684.02189352,953684.02189352,953684.02189352,953684.02189352,953684.02189352,953684.02189352
24.0,7.918,512,2562272.295184101,2572090.0066683125,2572090.0066683125,2572090.0066683125,2572090.0066683125,2572090.0066683125
24.0,16.772,64,3653919.010686471,3653919.010686471,3653919.010686471,3653919.010686471,3653919.010686471,3653919.010686471
