arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
26.0,4.073,262144,328968.60450505,328968.60450505,328968.60450505,328968.60450505,328968.60450505,328968.60450505
26.0,4.639,32768,625133.6851770187,625133.6851770187,625133.6851770187,625133.6851770187,625133.6851770187,625133.6851770187
26.0,5.649,4096,773450.7120094984,773450.7120094984,773450.7120094984,773450.7120094984,773450.7120094984,773450.7120094984
26.0,7.918,512,2162675.375039213,2162675.375039213,2162675.375039213,2162675.375039213,2162675.375039213,2162675.375039213
26.0,16.772,64,2608404.7771300757,2608404.7771300757,2608404.7771300757,2608404.7771300757,2608404.7771300757,2608404.7771300757
