arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time
38.0,4.073,262144,659947.0233488443,659947.0233488443,659947.0233488443,659947.0233488443,659947.0233488443,659947.0233488443,659947.0233488443
38.0,4.639,32768,274380.6886991138,274380.6886991138,274380.6886991138,274380.6886991138,274380.6886991138,274380.6886991138,274380.6886991138
38.0,5.649,4096,83488.87299514828,83041.11413631203,83041.11413631203,83041.11413631203,83041.11413631203,83041.11413631203,83041.11413631203
38.0,7.918,512,36307.6836909214,36292.10681401673,36292.10681401673,36292.10681401673,36292.10681401673,36292.10681401673,36292.10681401673
38.0,16.772,64,17292.936216848775,17266.90837990403,17264.68734150723,17271.214635919503,17271.214635919503,17264.68734150723,17264.68734150723
