arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
38.0,4.073,262144,164414.7952892318,164414.7952892318,164414.7952892318,164414.7952892318,164414.7952892318,164414.7952892318
38.0,4.639,32768,134215.4093053402,134215.4093053402,134215.4093053402,134215.4093053402,134215.4093053402,134215.4093053402
38.0,5.649,4096,45525.67258152262,45525.67258152262,45525.67258152262,45525.67258152262,45525.67258152262,45525.67258152262
38.0,7.918,512,26346.684971737905,26346.684971737905,26346.684971737905,26346.684971737905,26346.684971737905,26346.684971737905
38.0,16.772,64,12935.100656740171,12930.876304411855,12922.093870576859,12922.093870576859,12922.093870576859,12922.093870576859
