frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,6257503.631130,294006.000000,0.000000
4,5776614.486710,263895.000000,0.000000
8,3624464.879041,289606.000000,0.000000
16,6120090.095182,285743.000000,0.000000
32,6340520.271219,303606.000000,0.000000
64,6399450.793383,299993.000000,0.000000
128,6875418.577999,278203.000000,0.000000
256,8021386.796328,304837.000000,0.000000
512,7223320.299740,301434.000000,0.000000
1024,6952807.903280,293537.000000,0.000000
2048,4453254.048053,304794.000000,0.000000
4096,5728608.279934,253804.000000,0.000000
8192,6920413.053985,298872.000000,0.000000
16384,4951642.441118,213129.000000,0.000000
32768,1499006.558631,107548.000000,0.000000
65536,880034.762508,84497.000000,0.000000
