frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,4781938.317890,302648.000000,140826.493931
4,5495774.610457,305277.000000,48607.341668
8,5040300.975654,295882.000000,51.923020
16,4318691.224430,285201.000000,12185.655460
32,3964552.013599,230316.000000,34134.652466
64,7414036.940428,303993.000000,157525.628124
128,7464675.317924,307068.000000,39171.204909
256,7624888.101986,308934.000000,442407.168067
512,7939638.679091,300154.000000,870310.902043
1024,5564588.005230,301884.000000,1391733.084338
2048,5022659.461213,292120.000000,1284784.822787
4096,7744532.982252,306691.000000,2122564.688839
8192,5641711.857824,290512.000000,2354114.141061
16384,7783985.771658,269318.000000,4728078.497040
32768,9715221.400351,282636.000000,7816746.924356
65536,7331176.709207,256630.000000,4938725.560003
