frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,4969820.447643,301138.000000,0.000000
4,4956977.787488,303289.000000,0.000000
8,5508282.634190,294271.000000,0.000000
16,6376665.585205,263595.000000,0.000000
32,5864649.217436,304522.000000,0.000000
64,7250780.525591,303931.000000,0.000000
128,6723721.250596,303045.000000,0.000000
256,7953178.331237,298057.000000,0.000000
512,7041828.701991,298861.000000,0.000000
1024,7308402.636821,295671.000000,0.000000
2048,8945030.485677,301464.000000,0.000000
4096,4746845.768034,217137.000000,0.000000
8192,8558883.612466,288019.000000,0.000000
16384,6755422.189939,301268.000000,0.000000
32768,6907222.173306,248726.000000,0.000000
65536,6218607.260811,254322.000000,0.000000
