frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,4299273.417223,299043.000000,92.276758
4,5723880.797582,274343.000000,853.060959
8,4454764.226548,297989.000000,65.261014
16,4696865.070178,244501.000000,222.139596
32,5800163.636103,305126.000000,232990.900698
64,5664661.530405,299788.000000,510802.279471
128,5940585.205924,291462.000000,388998.388912
256,6463098.773692,302131.000000,329761.411837
512,7108668.528344,293046.000000,236311.320444
1024,7307736.858256,300113.000000,2077815.587611
2048,7992159.834136,303457.000000,1572054.780468
4096,8212925.657057,298028.000000,2750635.451536
8192,6730996.905744,298538.000000,2664716.522426
16384,5058384.995387,248825.000000,1534444.297795
32768,7766527.112942,244557.000000,4156073.681188
65536,13040109.032030,302873.000000,13040109.032030
