frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,4618889.518303,272396.000000,89.487429
4,5203095.261169,299820.000000,894.296371
8,4530206.931565,285907.000000,161559.094257
16,6251462.071564,302900.000000,3333.490813
32,6229051.966702,302724.000000,1042.572779
64,7044322.952618,301432.000000,72136.227258
128,8379236.026825,303091.000000,593929.229599
256,7191072.247457,303592.000000,114212.689650
512,7779750.553957,303557.000000,338439.382945
1024,7230201.787202,292526.000000,92132.903536
2048,6959360.798439,303031.000000,1319233.623558
4096,7688088.448432,282802.000000,2487696.751967
8192,7954545.126232,284133.000000,2261129.581263
16384,9809626.091013,301830.000000,1021075.319245
32768,7478074.760464,304455.000000,4849606.124697
65536,8179175.081812,249970.000000,2594823.217710
