frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,4369240.320567,301972.000000,0.000000
4,1637493.689856,130646.000000,0.000000
8,6121470.561185,287847.000000,0.000000
16,5784705.775111,295600.000000,0.000000
32,6232629.060952,291209.000000,0.000000
64,7313684.550799,305879.000000,0.000000
128,8336667.629660,299563.000000,0.000000
256,7619564.470968,301173.000000,0.000000
512,4330221.481315,264232.000000,0.000000
1024,8190752.311861,290867.000000,0.000000
2048,6731990.323077,305194.000000,0.000000
4096,1497953.709333,128853.000000,0.000000
8192,6541319.461080,300729.000000,0.000000
16384,6107268.111946,272159.000000,0.000000
32768,4084437.785172,238926.000000,0.000000
65536,5926536.753502,307184.000000,0.000000
