frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,3477133.538339,276733.000000,99.704564
4,4907668.804092,302440.000000,162514.830782
8,5331528.422449,301696.000000,64.976919
16,6373054.049333,303931.000000,267397.339908
32,5735246.468720,280538.000000,1429.683531
64,6060849.163311,304707.000000,374752.654898
128,6872434.317210,299158.000000,247221.685503
256,7986781.997303,305415.000000,526169.871693
512,7836063.028235,304456.000000,837058.587871
1024,4357955.194013,301532.000000,341508.574190
2048,5309723.700065,303700.000000,147393.110595
4096,3766813.048823,257871.000000,1035466.551322
8192,2747008.547160,144445.000000,1249951.750360
16384,1321863.918277,90337.000000,938917.106975
32768,5595266.295805,187110.000000,4229200.311671
65536,9997862.274638,290110.000000,8036186.953662
