frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,92680.739520,61359.000000,24.083189
4,316661.930298,145381.000000,104.163333
8,670214.702129,290410.000000,2011.156384
16,552099.687733,209449.000000,108.305125
32,105300.188751,52461.000000,1334.293821
64,488642.753255,230830.000000,1954.841170
128,716846.590532,267614.000000,1286.950660
256,832673.357036,303041.000000,30766.043750
512,589593.198565,245514.000000,207611.649606
1024,407799.442681,207578.000000,33731.792392
2048,440100.184649,192049.000000,36123.114041
4096,907297.285058,272044.000000,421330.338916
8192,390807.077032,129563.000000,107057.959783
16384,105856.598377,55230.000000,42329.507828
32768,947806.256292,297955.000000,781796.590147
65536,118042.847589,57109.000000,0.000000
