frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,98132.606620,49488.000000,37.000000
4,310480.620878,201775.000000,25.000000
8,230931.596576,126541.000000,91.667879
16,468250.509306,280670.000000,245.297778
32,425286.997401,198444.000000,165.453921
64,554539.116609,301845.000000,454.129937
128,340807.567246,242152.000000,101.793909
256,433785.985667,224409.000000,31433.924111
512,592723.927571,259114.000000,1190.472595
1024,246169.898692,125284.000000,59968.673347
2048,676467.186516,288222.000000,56192.192954
4096,628013.816571,191571.000000,142657.701376
8192,369710.424662,141445.000000,158971.487695
16384,556996.012986,238763.000000,219523.103144
32768,660684.631572,281670.000000,227572.014760
65536,1259851.302667,182881.000000,1234544.112790
