frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,72843.841215,30975.000000,48.476799
4,184474.667789,166888.000000,52.249402
8,62272.179438,40468.000000,49.689033
16,349704.511825,221844.000000,128.604043
32,186173.063444,137737.000000,186.935818
64,295315.492531,179307.000000,890.840614
128,575831.629198,307775.000000,2358.256347
256,308609.726682,191981.000000,2170.417011
512,425733.626326,225061.000000,14423.404418
1024,469564.489379,251753.000000,7018.601499
2048,208967.563239,129512.000000,48432.110918
4096,265258.029130,119788.000000,175557.067707
8192,464469.157314,288905.000000,16133.246016
16384,370108.275534,197013.000000,195773.326720
32768,520884.606484,257729.000000,167503.840696
65536,455633.632568,242276.000000,336397.507189
