frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,493230.228631,295608.000000,126.388291
4,230695.956998,110529.000000,2311.477666
8,434041.037014,275285.000000,152.561463
16,185815.297538,146381.000000,135.066650
32,445816.455326,273529.000000,86.654486
64,375087.721229,202804.000000,63848.354568
128,451763.455613,269215.000000,1024.325632
256,405250.906604,219812.000000,1575.641139
512,261548.628408,182670.000000,7952.237295
1024,657250.730623,267502.000000,40003.545155
2048,564740.723895,276123.000000,7661.381403
4096,619709.344324,163264.000000,84857.985977
8192,819811.329276,247679.000000,311156.039021
16384,538914.425863,207555.000000,471750.005592
32768,732784.259497,247833.000000,431421.577575
65536,1613684.474064,218738.000000,1595993.964605
