frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,788707.921764,265653.000000,223230.030312
4,529937.817969,260186.000000,201.270962
8,1115981.358783,283210.000000,68.044103
16,1002982.217630,275261.000000,178.569314
32,709817.374546,183710.000000,6112.723943
64,1411503.810757,293793.000000,578.617317
128,1127805.318737,276506.000000,264094.561442
256,979234.427680,220201.000000,20640.055572
512,1122216.564389,291422.000000,11716.735851
1024,959818.154968,236667.000000,81788.269318
2048,1043225.007567,297699.000000,62243.214008
4096,693033.137171,231084.000000,123401.818451
8192,897718.070616,289687.000000,355377.226376
16384,1370507.273468,110286.000000,1090435.866769
32768,963517.078851,141377.000000,0.000000
65536,2215266.360568,171910.000000,1962559.819189
