frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,214580.674407,180728.000000,9.000000
4,204112.459972,148061.000000,59.321160
8,391643.466739,196662.000000,24.166092
16,152547.881008,73551.000000,29.461840
32,130012.736761,78806.000000,547.355460
64,69965.817218,34263.000000,19345.436258
128,198676.910636,110782.000000,358.793813
256,74733.140942,31085.000000,714.923772
512,263037.679267,227624.000000,2792.191612
1024,83928.909078,49144.000000,12020.491338
2048,405709.734676,248252.000000,35614.728386
4096,456068.368227,230080.000000,132818.284001
8192,532326.717840,287426.000000,169702.320933
16384,159924.275893,87472.000000,65252.875967
32768,266242.040773,117690.000000,76280.813708
65536,406182.023776,119029.000000,376314.303063
