frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,628064.400211,252382.000000,213.506440
4,829499.303041,268540.000000,15.000000
8,760586.745248,289014.000000,22.000000
16,788664.791424,296430.000000,17009.537795
32,1220936.107345,297598.000000,110.634533
64,1207642.522379,230217.000000,337.792836
128,1023390.063521,278633.000000,3091.971378
256,1255208.540596,277893.000000,3321.944310
512,973377.377539,265305.000000,19782.223687
1024,1309619.610463,264889.000000,390618.129045
2048,1017509.602215,300993.000000,57471.495639
4096,1840696.376949,306497.000000,271342.990665
8192,1002070.502708,256992.000000,239533.231611
16384,1320142.240590,205010.000000,303532.026142
32768,2454897.624848,286809.000000,839156.535833
65536,1865238.949841,286245.000000,1381464.799595
