frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,578000.828188,23843.000000,0.000000
4,1132010.471011,48167.000000,0.000000
8,1440105.713436,55081.000000,0.000000
16,1265354.355831,60992.000000,0.000000
32,1407643.250749,55605.000000,0.000000
64,1758519.922507,68383.000000,0.000000
128,2483674.683967,97212.000000,0.000000
256,1671223.791666,65547.000000,0.000000
512,2937404.144244,118051.000000,0.000000
1024,3875197.051976,143948.000000,0.000000
2048,2454262.208975,83616.000000,0.000000
4096,2858976.333662,115744.000000,0.000000
8192,1710962.497161,68666.000000,0.000000
16384,368025.346990,17751.000000,0.000000
32768,5785645.124802,195236.000000,0.000000
65536,8327663.113097,221682.000000,0.000000
