frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,863576.045798,43026.000000,0.000000
4,1435979.146629,54509.000000,0.000000
8,1324397.440992,55852.000000,0.000000
16,1600204.118612,69977.000000,0.000000
32,2347718.509895,87267.000000,0.000000
64,1099606.748884,43453.000000,0.000000
128,2202515.840125,80311.000000,0.000000
256,2037922.880450,75920.000000,0.000000
512,3048543.658083,116358.000000,0.000000
1024,2575188.980979,99887.000000,0.000000
2048,3527177.777160,120978.000000,0.000000
4096,2958171.207707,105824.000000,0.000000
8192,2220679.353049,80205.000000,0.000000
16384,3042959.415764,125250.000000,0.000000
32768,3819122.016276,134712.000000,0.000000
65536,5513345.240907,178817.000000,0.000000
