frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,1059236.511951,36294.000000,0.000000
4,1387649.797854,55924.000000,0.000000
8,1305659.835116,59815.000000,0.000000
16,959836.975371,39146.000000,0.000000
32,1180513.375610,53922.000000,0.000000
64,2712425.589040,110942.000000,0.000000
128,2722505.312060,108360.000000,0.000000
256,2866591.738688,100859.000000,0.000000
512,3348464.862006,130028.000000,0.000000
1024,2279083.954458,84619.000000,0.000000
2048,1407630.202961,54053.000000,0.000000
4096,3054108.508738,110096.000000,0.000000
8192,2107747.340675,72791.000000,0.000000
16384,4306415.042007,153068.000000,0.000000
32768,6505044.327557,209521.000000,0.000000
65536,4658573.881125,153077.000000,0.000000
