frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,519655.554343,26093.000000,0.000000
4,547921.522611,30138.000000,0.000000
8,1075889.097214,41929.000000,0.000000
16,1897955.521687,76261.000000,0.000000
32,1671961.957105,60669.000000,0.000000
64,2521114.652487,103432.000000,0.000000
128,2101166.981407,80800.000000,0.000000
256,3038942.806335,117046.000000,0.000000
512,2537392.577482,108777.000000,0.000000
1024,2346803.230170,83200.000000,0.000000
2048,2598676.944398,96805.000000,0.000000
4096,4172164.305265,130938.000000,0.000000
8192,1579270.810622,51022.000000,0.000000
16384,4223002.688839,133794.000000,0.000000
32768,5392270.766670,184706.000000,0.000000
65536,8096263.046236,212519.000000,0.000000
