arrival_time,job_size
34,41
41,33
43,33
50,20
55,20
66,15
74,11
144,13
301,27
325,38
358,6
379,9
393,16
483,14
516,14
560,25
575,11
577,15
578,15
779,33
849,8
876,48
943,9
1024,35
1028,18
1057,16
1131,27
1138,22
1222,11
1225,7
1231,261
1259,26
1303,9
1338,37
1350,365
1367,46
1372,13
1381,11
1412,13
1422,11
1423,24
1465,14
1507,38
1553,34
1611,12
1614,9
1649,7
1672,31
1673,7
1711,7
1715,23
1743,14
1753,23
1754,9
1767,12
1896,87
1918,7
1933,13
1955,64
1960,6
2003,11
2121,10
2135,7
2141,10
2150,24
2174,231
2183,7
2200,17
2206,31
2212,14
2220,11
2237,18
2255,53
2259,31
2313,24
2388,23
2395,21
2566,24
2627,14
2718,26
2721,14
2730,28
2752,39
2753,26
2763,48
2820,10
2823,10
2937,14
3019,27
3049,9
3062,16
3066,8
3081,24
3106,13
3122,35
3175,7
3216,5
3221,7
3255,7
3270,8
3271,15
3316,7
3341,43
3401,8
3409,122
3521,9
3543,8
3594,29
3604,13
3606,14
3650,12
3673,6
3678,9
3752,13
3820,5
3838,19
3900,42
3922,12
3952,207
3956,10
3969,5
3974,12
3989,22
3999,11
4003,14
4024,7
4030,46
4044,20
4046,21
4066,23
4074,10
4087,28
4101,10
4102,21
4123,13
4139,9
4161,9
4197,16
4236,18
4249,22
4266,18
4277,20
4311,11
4422,34
4450,19
4451,38
4452,23
4507,49
4539,36
4546,10
4549,12
4592,11
4692,97
4698,41
4717,8
4732,13
4734,19
4735,6
4749,6
4853,81
4861,6
4928,5
4937,13
4968,32
5034,6
5041,11
5043,24
5068,6
5084,8
5118,6
5136,8
5171,14
5172,13
5226,17
5255,8
5257,9
5268,19
5270,10
5283,11
5291,16
5325,30
5374,24
5395,26
5400,127
5470,12
5543,22
5585,66
5602,28
5612,19
5613,12
5618,7
5644,20
5754,72
5780,14
5794,6
5795,133
5796,6
5801,6
5820,6
5888,9
5896,5
5897,7
5914,53
5980,11
6042,10
6100,140
6101,16
6154,9
6193,12
6205,7
6207,452
6225,10
6242,5
6266,6
6326,9
6348,13
6351,10
6361,10
6378,9
6379,20
6409,20
6437,489
6443,34
6494,12
6532,20
6537,11
6555,17
6584,394
6590,7
6694,6
6734,8
6787,5
6828,15
6869,5
6964,6
6972,8
6973,20
6979,13
6995,33
7001,20
7038,6
7135,125
7206,6
7262,8
7280,25
7303,7
7321,24
7326,10
7336,9
7340,5
7347,7
7404,9
7426,5
7455,5
7482,6
7486,7
7528,6
7542,12
7559,14
7560,7
7618,9
7619,132
7734,6
7756,9
7775,124
7818,13
7822,16
7836,6
7838,7
7870,7
7876,5
7922,8
7968,7
7974,9
8002,78
8048,6
8053,6
8059,283
8136,10
8161,5
8168,9
8173,9
8226,7
8302,12
8351,16
8389,10
8400,18
8404,18
8411,48
8421,25
8448,19
8482,25
8495,26
8496,42
8533,9
8564,24
8624,59
8633,21
8677,9
8707,7
8711,13
8750,7
8757,529
8816,55
8861,7
8882,6
8923,6
8976,7
8977,99
8985,11
9041,71
9076,9
9086,12
9164,13
9169,20
9190,6
9219,77
9223,66
9262,7
9320,7
9348,12
9359,9
9365,6
9389,5
9397,7
9455,6
9484,8
9499,15
9540,13
9543,5
9549,36
9585,6
9594,14
9619,27
9661,332
9850,7
9874,92
10013,9
10044,69
10135,10
10138,13
10175,14
10183,8
10203,7
10292,17
10298,7
10306,45
10341,8
10457,10
10463,19
10526,18
10527,29
10554,29
10605,27
10689,28
10735,20
10778,10
10786,14
10803,11
10808,13
10816,19
10851,19
10907,21
10918,18
10969,26
10995,161
11015,608
11016,12
11034,6
11049,10
11122,11
11146,6
11160,11
11317,9
11416,9
11428,18
11437,11
11462,14
11495,10
11533,16
11542,16
11544,9
11553,22
11575,29
11588,45
11620,20
11646,10
11660,8
11676,165
11679,18
11691,19
11708,18
11763,9
11764,33
11773,11
11814,12
11859,110
11902,17
11940,7
11947,7
11974,8
12011,7
12053,6
12092,10
12179,8
12185,28
12204,28
12218,15
12257,23
12270,24
12274,21
12289,29
12336,33
12408,6
12410,12
12432,21
12534,12
12571,12
12582,38
12740,16
12743,7
12767,40
12803,7
12835,26
12864,56
12874,26
12956,18
12969,12
12979,11
13005,5
13013,15
13039,7
13074,9
13105,6
13177,65
13198,16
13211,13
13236,12
13268,7
13309,11
13335,9
13523,7
13537,11
13541,9
13542,30
13544,31
13602,10
13620,26
13658,52
13734,7
13782,37
13794,54
13837,20
13842,34
13851,21
13892,10
13915,7
14037,10
14038,25
14100,7
14114,12
14143,22
14159,10
14183,21
14220,30
14258,62
14304,42
14305,24
14433,52
14465,16
14566,49
14596,37
14720,54
14821,9
14828,10
14893,21
15052,22
15128,454
15137,12
15181,8
15196,16
15204,7
15206,6
15274,15
15285,26
15400,7
15402,12
15419,6
15433,6
15454,8
15471,9
15523,10
15551,22
15562,8
15563,11
15608,9
15701,42
15792,18
15798,27
15853,20
15873,20
15893,26
15916,12
15941,35
15976,6
15987,8
16012,6
16067,7
16110,9
16127,6
16206,8
16207,13
16258,86
16262,10
16283,11
16293,6
16487,12
16522,7
16532,5
16564,16
16607,5
16624,21
16733,11
16760,10
16794,8
16850,10
16866,13
16944,42
16986,59
17029,130
17042,36
17043,49
17058,26
17107,20
17186,19
17261,36
17286,23
17355,12
17384,5
17402,5
17403,52
17404,12
17437,11
17441,76
17557,9
17560,20
17562,16
17593,6
17600,13
17630,32
17654,11
17660,25
17714,11
17755,23
17780,15
17873,14
17903,6
17920,7
17931,13
17949,47
18020,30
18039,15
18040,33
18084,24
18085,10
18135,15
18136,7
18146,8
18181,6
18195,13
18219,70
18250,8
18296,23
18320,8
18326,8
18332,5
18347,7
18430,6
18528,7
18554,12
18601,7
18647,5
18654,12
18663,5
18681,6
18695,9
18704,23
18772,6
18778,5
18779,9
18809,5
18853,22
18857,6
18873,1227
18902,41
18906,78
19000,62
19069,12
19090,11
19091,29
19095,13
19109,26
19152,10
19153,25
19174,12
19176,21
19190,27
19192,21
19215,35
19267,30
19275,26
19298,18
19309,392
19322,26
19340,57
19341,133
19353,13
19361,6
19401,15
19508,12
19513,8
19567,10
19607,25
19619,25
19630,11
19656,7
19666,8
19684,6
19705,15
19753,8
19777,11
19783,9
19835,9
19852,28
19859,75
19959,14
20004,6
20019,10
20037,7
20099,9
20103,93
20104,7
20124,10
20133,10
20199,37
20207,22
20226,47
20231,22
20238,28
20248,9
20359,24
20408,21
20482,18
20495,12
20496,9
20498,15
20528,39
20529,29
20558,19
20570,13
20601,17
20614,8
20637,7
20640,6
20719,7
20721,17
20739,8
20765,20
20773,7
20824,23
20833,15
20867,36
20899,23
20900,27
20913,19
20928,19
20980,20
20989,25
21052,21
21056,9
21105,19
21110,37
21120,8
21123,12
21180,7
21196,20
21269,9
21280,19
21281,50
