frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,14675096.652244,252803.000000,145378.000000
4,14608827.204070,253327.000000,381339.008031
8,14623589.299265,249745.000000,157222.016470
16,14928599.070421,258444.000000,612941.131916
32,14933576.007941,258660.000000,1033431.358467
64,15415446.261627,262363.000000,75048.046943
128,14376043.038142,253316.000000,822814.485412
256,14996543.214620,263386.000000,230814.468214
512,15558312.100239,263118.000000,2114098.215663
1024,15458606.464205,257643.000000,2672065.887727
2048,14602472.077355,246477.000000,780175.292930
4096,10712894.523666,190765.000000,1347015.182606
8192,12933729.021895,188311.000000,609131.369071
16384,15319583.355365,284748.000000,4281948.413206
32768,15700261.804451,249769.000000,10059670.563704
65536,27670100.716638,460436.000000,25961020.596584
