frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,14552312.370332,249267.000000,554577.481277
4,14515471.664607,252209.000000,376938.457027
8,14773549.684690,258423.000000,427639.694861
16,14721905.588791,259277.000000,589238.523732
32,14640626.637146,254412.000000,27285.675436
64,15309124.047337,268466.000000,106152.936888
128,15211556.767799,263804.000000,11206.110208
256,15819908.081097,271320.000000,1576217.766304
512,14994425.548219,265766.000000,1300233.720093
1024,16548933.660567,283581.000000,2438455.920071
2048,13962532.153000,238873.000000,152585.506723
4096,12000036.965785,198291.000000,1741021.629580
8192,15403437.522042,275744.000000,7158540.423050
16384,9585960.257755,177527.000000,989919.303339
32768,10298894.846125,194113.000000,1899146.114178
65536,27000338.474102,533768.000000,26716770.901961
