frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,14414966.500731,249565.000000,5646.308263
4,14078923.978286,245999.000000,16159.477745
8,14850494.971714,258368.000000,148235.858786
16,14960594.157376,258368.000000,69093.818153
32,15274254.926324,266406.000000,516029.283904
64,15792393.247025,271031.000000,269299.508897
128,14995788.332280,257763.000000,552525.747157
256,15259303.332463,264768.000000,1818899.607414
512,15330469.489026,263632.000000,1371821.635154
1024,16832262.933497,293527.000000,1167433.174220
2048,15198236.912764,243854.000000,551998.209719
4096,15461714.151560,263265.000000,1690853.204467
8192,12064855.453476,197420.000000,2016196.884062
16384,19496588.712945,319978.000000,7172710.842241
32768,12640665.481776,236956.000000,6489216.433421
65536,13274300.711239,210336.000000,6301253.952564
