frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,14188475.274853,247442.000000,189188.012406
4,14331233.622528,249816.000000,149617.935960
8,14734706.351137,255898.000000,514103.216809
16,15033960.738632,257724.000000,54088.852622
32,14773706.774831,253794.000000,195722.139335
64,15421092.382317,266467.000000,321998.599969
128,14966796.803216,259464.000000,876385.150954
256,16225647.677867,270911.000000,263554.426199
512,15398746.416111,259970.000000,943606.929032
1024,15336137.858816,266729.000000,2815221.550654
2048,13592099.668936,253818.000000,2978894.885045
4096,13012771.019501,234248.000000,3145370.856780
8192,13562084.883472,222920.000000,5808596.320969
16384,13958742.806086,269657.000000,2452196.727531
32768,17522677.188175,296868.000000,3611940.712044
65536,8551991.321590,238083.000000,7635561.971449
