frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,382096.972202,231384.000000,0.000000
4,383138.257962,274564.000000,0.000000
8,461450.042461,269334.000000,0.000000
16,197106.621124,134552.000000,0.000000
32,265610.570642,172048.000000,0.000000
64,423950.460476,232451.000000,0.000000
128,317158.622907,144841.000000,0.000000
256,126798.485346,76685.000000,0.000000
512,408561.299934,240626.000000,0.000000
1024,169477.743238,85534.000000,0.000000
2048,335879.991567,170558.000000,0.000000
4096,571461.327129,268980.000000,0.000000
8192,365938.139757,102732.000000,0.000000
16384,807769.538569,270645.000000,0.000000
32768,531400.534678,116601.000000,0.000000
65536,1315263.842226,236120.000000,0.000000
