frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,212075.832074,177044.000000,1654.105498
4,435164.809520,297730.000000,78.727378
8,71125.772896,30968.000000,149.756469
16,94753.974592,37398.000000,53.329167
32,232894.062979,161860.000000,95.807098
64,234757.495271,210466.000000,3161.063745
128,379870.065081,287706.000000,20064.150543
256,238601.412672,144760.000000,708.483592
512,335512.165681,168264.000000,1243.594789
1024,102997.815487,48178.000000,3967.809723
2048,197381.555742,89233.000000,89529.783318
4096,492767.693348,372656.000000,108063.266483
8192,465730.031645,261241.000000,284970.366545
16384,301096.322120,68458.000000,247970.384714
32768,957921.570816,192450.000000,842872.651496
65536,761755.811847,106003.000000,749790.694790
