frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,310242.551727,208131.000000,52.725705
4,256248.025087,216393.000000,50.119856
8,277469.044630,166772.000000,21.189620
16,158890.029341,112899.000000,221.610018
32,217816.630102,197099.000000,322.948912
64,210409.522741,172340.000000,165.568717
128,273782.407636,172807.000000,5948.088348
256,219088.547088,125671.000000,2206.349020
512,288879.078983,239579.000000,1340.508486
1024,199241.398597,147219.000000,24467.454302
2048,487427.992323,301140.000000,19332.619326
4096,223476.899759,99783.000000,44104.188395
8192,309160.954281,192778.000000,8695.613722
16384,351617.188874,190672.000000,25398.144539
32768,1005893.437097,285989.000000,856268.315625
65536,707756.930848,102990.000000,699006.993614
