frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,465993.622796,176173.000000,0.000000
4,734374.995457,198965.000000,0.000000
8,631439.023688,213753.000000,0.000000
16,740839.750015,257297.000000,0.000000
32,279363.937902,83886.000000,0.000000
64,1181549.451285,274224.000000,0.000000
128,1014254.342819,268132.000000,0.000000
256,579553.307992,136462.000000,0.000000
512,832484.187577,249276.000000,0.000000
1024,909228.876080,215155.000000,0.000000
2048,808680.892519,229767.000000,0.000000
4096,812432.401170,204967.000000,0.000000
8192,1015384.028031,260896.000000,0.000000
16384,775239.155259,186447.000000,0.000000
32768,1132298.900343,274519.000000,0.000000
65536,1848539.996556,294406.000000,0.000000
