frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,124072.741402,60266.000000,0.000000
4,220784.293685,135841.000000,0.000000
8,87006.321943,39270.000000,0.000000
16,266013.964586,187466.000000,0.000000
32,351383.672643,173028.000000,0.000000
64,505949.869888,237976.000000,0.000000
128,473108.367460,374557.000000,0.000000
256,141253.324906,94732.000000,0.000000
512,521925.646890,288158.000000,0.000000
1024,162642.602752,58419.000000,0.000000
2048,179260.913721,108702.000000,0.000000
4096,481318.792869,227227.000000,0.000000
8192,223715.573823,107337.000000,0.000000
16384,458847.635585,315332.000000,0.000000
32768,60267.530769,33457.000000,0.000000
65536,182249.903643,128469.000000,0.000000
