frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,568519.915137,263170.000000,0.000000
4,238814.336431,101638.000000,0.000000
8,841295.483315,310354.000000,0.000000
16,393941.422208,128304.000000,0.000000
32,143201.113603,53234.000000,0.000000
64,842166.355806,289057.000000,0.000000
128,487063.102658,262419.000000,0.000000
256,200952.312808,55843.000000,0.000000
512,415329.697137,177048.000000,0.000000
1024,771236.383644,318517.000000,0.000000
2048,204077.760530,102568.000000,0.000000
4096,433491.074726,132485.000000,0.000000
8192,193680.856421,65479.000000,0.000000
16384,180565.146640,66133.000000,0.000000
32768,305269.990372,100568.000000,0.000000
65536,1083792.550419,251526.000000,0.000000
