frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode3_maximum_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode5_maximum_flow_time,Dynamic_njobs100_mode6_maximum_flow_time
2,409216.058583,408598.909217,408598.909217,408598.909217,408598.909217,408598.909217,8872.000000,7330.000000,7330.000000,7330.000000,7330.000000,7330.000000
32,500495.200708,500495.200708,500495.200708,500495.200708,500495.200708,500495.200708,8976.000000,8976.000000,8976.000000,8976.000000,8976.000000,8976.000000
8,630224.382349,632832.162832,635188.848477,635188.848477,635188.848477,635188.848477,15235.000000,12384.000000,10404.000000,10404.000000,10404.000000,10404.000000
4096,925258.111903,937554.875022,937711.991037,937711.991037,937711.991037,937711.991037,19198.000000,19198.000000,19198.000000,19198.000000,19198.000000,19198.000000
16,829695.184625,829683.520776,829683.520776,829683.520776,829695.184625,829683.520776,13729.000000,13729.000000,13729.000000,13729.000000,13729.000000,13729.000000
64,973726.590747,974718.061796,974718.061796,974718.061796,974718.061796,974718.061796,16855.000000,16855.000000,16855.000000,16855.000000,16855.000000,16855.000000
65536,1174827.095715,1175047.401118,1179103.824307,1179097.625182,1179097.656529,1179096.155867,27765.000000,27765.000000,27765.000000,27765.000000,27765.000000,27765.000000
4,769391.258388,779359.782220,779359.782220,779359.782220,779359.782220,779359.782220,16298.000000,16134.000000,16134.000000,16134.000000,16134.000000,16134.000000
128,974775.194967,991053.820487,991053.820487,991053.820487,991053.820487,991053.820487,18856.000000,18856.000000,18856.000000,18856.000000,18856.000000,18856.000000
256,1234708.659711,1243266.667033,1243266.667033,1243266.667033,1243266.667033,1243266.667033,22216.000000,22216.000000,22216.000000,22216.000000,22216.000000,22216.000000
2048,1202062.757385,1219072.805438,1221254.502106,1221254.502106,1221205.496524,1221254.502106,21488.000000,20160.000000,20160.000000,20160.000000,20160.000000,20160.000000
512,1285943.728776,1298441.448211,1305993.852355,1305993.852355,1305993.852355,1305993.852355,24929.000000,24929.000000,24929.000000,24929.000000,24929.000000,24929.000000
32768,1244463.316695,1270491.853682,1271566.143460,1271566.143460,1271566.143460,1271566.143460,27919.000000,21256.000000,21256.000000,21256.000000,21256.000000,21256.000000
1024,1547896.448949,1571644.377109,1571644.377109,1571686.329553,1571626.755258,1571643.252300,27414.000000,27414.000000,27414.000000,27414.000000,27414.000000,27414.000000
8192,2074156.171446,2155648.822492,2155648.822492,2155657.232843,2155657.232843,2155648.822492,38136.000000,37856.000000,37856.000000,37856.000000,37856.000000,37856.000000
16384,3570465.027534,3660055.908589,3660418.171551,3660182.997770,3657834.461129,3660418.171551,56002.000000,56002.000000,56002.000000,56002.000000,56002.000000,56002.000000
