frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,3011124.638791,58611.000000,25.377155
4,1444151.250457,31284.000000,53494.601569
8,817359.089716,14305.000000,24947.872875
16,136840.887822,5089.000000,1904.345557
32,3009531.764474,48307.000000,201474.271496
64,576124.712398,11662.000000,11833.438215
128,444381.746596,11731.000000,3162.861521
256,1250784.165246,19739.000000,138797.119260
512,1688459.095191,27919.000000,127872.568129
1024,1007305.707731,15869.000000,114986.731021
2048,425798.331460,11113.000000,137512.966698
4096,633536.215492,12400.000000,71288.718013
8192,1190408.521391,24457.000000,332522.985944
16384,1373017.651615,31965.000000,234710.557747
32768,2893405.556949,45863.000000,556595.948289
65536,1770321.149053,29576.000000,779526.813983
