frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,719122.964836,13135.000000,980.901116
4,3254515.672260,48150.000000,62787.569032
8,1667122.040488,24288.000000,24993.101868
16,629017.295599,15100.000000,28569.515064
32,1280696.071271,33505.000000,4482.537339
64,1358032.446300,20593.000000,27305.101117
128,1589799.876464,27940.000000,98063.252230
256,981513.411664,17054.000000,92994.024028
512,1297075.051144,28344.000000,117266.487024
1024,3477837.272576,43492.000000,464057.742439
2048,490125.792185,11265.000000,34208.719576
4096,559808.461309,11652.000000,90984.699170
8192,1849406.346319,26388.000000,738850.177778
16384,3411646.067482,51437.000000,124973.668419
32768,4887610.825600,72436.000000,3163565.856866
65536,4037083.334008,76712.000000,4037048.990882
