frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,411861.151935,7019.000000,4705.124440
4,508371.795931,13680.000000,562.497111
8,1439737.724147,21680.000000,31663.385779
16,2351380.496347,48909.000000,52251.427550
32,278063.772719,6503.000000,15971.282322
64,758532.017399,20656.000000,559.222675
128,2235791.698215,39132.000000,175533.816594
256,1915246.384550,37565.000000,12468.899550
512,1013714.684953,20375.000000,6753.258399
1024,1915243.689389,35419.000000,202905.680603
2048,2447547.225604,36014.000000,325511.919922
4096,1424138.542419,20971.000000,317546.108654
8192,1518249.333896,30843.000000,568116.656064
16384,754599.295275,18681.000000,404534.314432
32768,1047549.565344,18117.000000,354769.038283
65536,1003825.783683,23412.000000,631563.328353
