frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,300014.786744,9279.000000,9686.579685
4,394625.320379,10640.000000,6328.252997
8,886677.465920,19233.000000,30640.155091
16,695851.381797,15888.000000,36743.880048
32,833464.445420,15443.000000,35264.075700
64,648592.534000,15123.000000,10895.707320
128,1032466.555455,19110.000000,40426.210879
256,2622686.120015,41801.000000,311303.102762
512,3482727.561784,52062.000000,485549.554147
1024,1113717.418769,15638.000000,173958.263190
2048,1511717.716715,28173.000000,210639.050750
4096,2298361.327177,40083.000000,24183.628884
8192,771113.019426,21460.000000,530169.917785
16384,1626730.154761,40191.000000,728027.059901
32768,1055140.456031,23630.000000,629551.374826
65536,2406249.530185,39649.000000,1232277.678734
