frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,1326073.767005,23077.000000,31531.498696
4,2866116.829404,55595.000000,100.980196
8,1977562.776445,31972.000000,66.887966
16,555778.535401,12469.000000,18008.444797
32,1001561.320447,25029.000000,18204.479778
64,1397354.556352,23932.000000,88463.247312
128,1284045.090757,17883.000000,103981.895785
256,758794.223438,15704.000000,13883.613074
512,1527878.620563,26858.000000,238541.033319
1024,1103751.757926,22541.000000,188914.242200
2048,1674253.222718,26915.000000,393166.526852
4096,612876.049808,11092.000000,172715.783772
8192,1185312.458749,30330.000000,54863.126251
16384,2159900.145648,36770.000000,856908.359935
32768,1775555.310780,28251.000000,850723.435026
65536,2909847.429887,50057.000000,1387795.371630
