frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,209563.794175,6571.000000,3109.313429
4,338868.827489,9805.000000,298.280070
8,1904556.178635,27014.000000,55474.244141
16,144283.121820,4872.000000,662.099690
32,3477480.524196,77141.000000,304396.645627
64,2375773.374185,50917.000000,1415.650734
128,2011125.628385,31316.000000,154585.892458
256,2174362.726861,40399.000000,219978.728028
512,1144099.536011,23364.000000,211998.299314
1024,5909288.743687,101697.000000,1764954.497682
2048,3901421.809773,58956.000000,1134212.207405
4096,27512656.778570,307461.000000,9485985.363931
8192,1588475.820745,31874.000000,698266.165817
16384,2467948.929015,45641.000000,597043.205724
32768,3478313.671045,51877.000000,273966.905766
65536,2060380.612673,36976.000000,1344596.071822
