frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,298388.127760,7773.000000,5095.192538
4,432588.749076,10490.000000,224.764321
8,2185907.253704,36770.000000,87072.922180
16,453348.570632,9241.000000,24386.188017
32,1244217.244005,21452.000000,28326.887616
64,1328999.859038,20633.000000,34256.322103
128,622445.413912,12811.000000,9944.141240
256,595833.288215,12697.000000,20347.590078
512,1819628.460680,26104.000000,222508.740022
1024,652134.746256,15250.000000,172921.177000
2048,1044525.398460,18367.000000,188870.410994
4096,383782.171849,8944.000000,72036.925510
8192,789325.609786,16700.000000,67113.218594
16384,1899368.702024,29589.000000,872618.590232
32768,869998.043238,21377.000000,823187.146408
65536,5395891.886169,80537.000000,3106535.442224
