frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,420107.970017,7180.000000,13992.062285
4,410194.661495,6868.000000,17464.066308
8,643048.394869,12206.000000,25326.678562
16,979880.820739,14921.000000,12206.927050
32,916733.688783,12967.000000,44703.545352
64,1156930.279787,22036.000000,93300.605979
128,1023410.677654,17972.000000,59452.669646
256,987889.219366,17508.000000,63241.958817
512,1002548.368311,15414.000000,83899.716418
1024,1043862.637889,21399.000000,297746.055300
2048,1380863.835740,24442.000000,204153.685348
4096,1144143.814528,19085.000000,170168.421824
8192,1911108.366958,35124.000000,993262.393003
16384,848415.519440,14937.000000,125374.856905
32768,740878.604697,22697.000000,592350.063684
65536,268668.762008,6792.000000,0.000000
