frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,432495.898430,7748.000000,11458.427684
4,413136.300918,9729.000000,2271.228742
8,658597.018366,12433.000000,14106.616462
16,1108509.463587,19403.000000,44568.653020
32,904876.115072,16470.000000,29479.669842
64,1168268.174807,18355.000000,9817.167922
128,1115315.565674,20110.000000,106435.172274
256,1068466.768650,15996.000000,8348.430391
512,801434.485788,14848.000000,47820.190119
1024,1294302.030763,22589.000000,53539.990297
2048,783771.772932,12956.000000,115141.864003
4096,1891291.115348,33653.000000,603469.129369
8192,1508719.867746,21956.000000,322156.723571
16384,803586.748409,18961.000000,425511.511171
32768,1124444.684899,29847.000000,401667.888656
65536,1711794.368988,29504.000000,1049083.311711
