frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,513175.800051,9798.000000,13581.225828
4,295514.676989,6462.000000,6071.218823
8,639789.793462,10328.000000,21485.624985
16,737861.033332,10341.000000,7354.687825
32,849187.486578,14523.000000,36863.765068
64,843778.446411,13808.000000,54855.901497
128,1177498.844226,21153.000000,112146.677124
256,1284466.880415,20050.000000,124889.344553
512,709159.025324,13857.000000,3324.009928
1024,1205548.959785,18903.000000,185687.532059
2048,834808.273731,15486.000000,30174.276346
4096,1374919.121128,22835.000000,532881.823127
8192,1262570.646974,21650.000000,287544.402738
16384,1112898.414442,24038.000000,708348.473387
32768,1975657.904544,27906.000000,275302.167872
65536,779595.738412,12488.000000,0.000000
