frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,638960.353682,9540.000000,19152.554869
4,634190.533595,10589.000000,20897.767919
8,684901.211620,11375.000000,14244.507714
16,572990.007303,9778.000000,20458.315033
32,1247566.226736,21000.000000,35145.962656
64,972796.267394,18442.000000,34525.664020
128,893779.887310,12972.000000,38552.013683
256,1636636.239450,26672.000000,82589.367500
512,1324677.181978,19519.000000,101208.774121
1024,1397395.276531,24214.000000,308152.190387
2048,1351975.323635,25415.000000,260999.761891
4096,1511277.605257,24226.000000,296829.998826
8192,2112978.763157,33485.000000,772930.638391
16384,1310714.172393,27210.000000,443585.228519
32768,314218.899401,11982.000000,280201.558247
65536,1049911.083591,18001.000000,0.000000
