frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,391473.285901,6788.000000,1718.718709
4,394890.103821,7120.000000,8113.132502
8,643423.221448,9769.000000,16288.904352
16,483041.279806,6891.000000,16609.913937
32,868065.572842,14172.000000,22533.448560
64,1204799.829597,21750.000000,1845.350644
128,944539.263820,16658.000000,29587.477807
256,1210285.579100,21031.000000,29134.067687
512,970175.027066,16482.000000,147843.686767
1024,1217590.920944,21762.000000,244279.049937
2048,1220556.141041,19303.000000,187671.109018
4096,1537911.813516,25109.000000,365264.188402
8192,918284.313221,15963.000000,47581.524177
16384,1861081.218904,34792.000000,224820.914596
32768,3239944.781600,53820.000000,1399391.000932
65536,1261089.443046,26329.000000,742641.577945
