frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,410256.221395,40016.000000,0.000000
4,1116471.796822,40067.000000,0.000000
8,792988.698943,43261.000000,0.000000
16,527543.937362,38148.000000,0.000000
32,1045127.087830,43353.000000,0.000000
64,926161.638108,42795.000000,0.000000
128,864357.173287,38619.000000,0.000000
256,967213.189825,40936.000000,0.000000
512,1418019.066348,138515.000000,0.000000
1024,1324941.455725,82004.000000,0.000000
2048,1896659.906206,139922.000000,0.000000
4096,1179621.717995,72566.000000,0.000000
8192,1279942.743451,100929.000000,0.000000
16384,1371446.841642,102774.000000,0.000000
32768,2372663.286848,226511.000000,0.000000
65536,907838.621381,42337.000000,0.000000
