frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,695783.029557,43311.000000,202.869416
4,458830.988285,41413.000000,1238.091677
8,890628.966643,41868.000000,5407.479912
16,757609.443506,43753.000000,15945.679195
32,929118.366753,42823.000000,741.487019
64,1086057.267809,41018.000000,51542.905040
128,1127295.924908,43760.000000,65719.122750
256,1251060.850769,85502.000000,43322.060547
512,1863112.159705,146870.000000,147910.166040
1024,1400215.635013,107093.000000,163160.865976
2048,1648901.524509,128530.000000,292013.901763
4096,1605091.004587,134981.000000,584790.245946
8192,1053718.584938,43601.000000,391061.424201
16384,2274244.754437,227804.000000,482946.631221
32768,1452129.207071,93281.000000,805451.189737
65536,5275008.951638,275106.000000,4557084.931439
