frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,795923.500258,32237.000000,0.000000
4,713309.319274,34888.000000,0.000000
8,759256.308585,33965.000000,0.000000
16,782054.803214,36289.000000,0.000000
32,796732.687645,33704.000000,0.000000
64,954930.453136,33504.000000,0.000000
128,1327268.003489,115145.000000,0.000000
256,1434465.182351,105430.000000,0.000000
512,1013365.886171,38231.000000,0.000000
1024,1270974.596686,70115.000000,0.000000
2048,1229251.088992,58857.000000,0.000000
4096,1770402.347818,133602.000000,0.000000
8192,1135607.913078,32936.000000,0.000000
16384,827523.397818,34903.000000,0.000000
32768,1371093.135886,69465.000000,0.000000
65536,881016.367881,48933.000000,0.000000
