frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,672683.357654,33501.000000,262.227001
4,768426.280626,33052.000000,28842.000000
8,946759.053411,40043.000000,16938.658447
16,741277.233538,35365.000000,18189.061053
32,990330.687749,33029.000000,24021.290119
64,871762.754418,34447.000000,47566.786711
128,1132425.217666,61316.000000,30584.506552
256,1093195.482579,35372.000000,14663.889593
512,1744453.577776,180720.000000,78094.621006
1024,1127280.345478,44213.000000,175701.996050
2048,1020292.953587,38385.000000,320964.515012
4096,596391.065667,34437.000000,179291.223204
8192,808253.918071,37226.000000,218890.858980
16384,2017583.208225,176518.000000,429149.903591
32768,2501884.998037,173905.000000,1656179.810278
65536,2304319.996961,225292.000000,1225672.009013
